sample,Sr_ppm,V_ppm,U_ppm,Th_ppm,Li_ppm,Be_ppm,B_ppm,Na_%,Mg_%,Al_%,K_%,Bi_ppm,Ca_%,Sc_ppm,Cr_ppm,Mn_ppm,Fe_%,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Ga_ppm,Ge_ppm,As_ppm,Se_ppm,Rb_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Ag_ppm,Cd_ppm,In_ppm,Sn_ppm,Sb_ppm,Te_ppm,Cs_ppm,Ba_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hf_ppm,Ta_ppm,W_ppm,Re_ppm,Au_ppb,Tl_ppm,Pb_ppm,P_%,S_%,Ti_%
M250-12.5,84,14,0.4,1.6,41.4,0.6,8,0.025,9.78,2.63,0.5,0.19,15.2,3.9,11,427,1.44,4.9,15.9,2.01,19.4,3.15,0.1,2.6,0.9,18,13.6,1.8,0.1,0.18,0.002,0.01,0.02,0.05,0.28,0.02,1,30.7,11.6,28.4,3.2,11.9,2.8,0.6,2.8,0.4,2.6,0.5,1.2,0.2,0.9,0.1,0.1,0.05,0.9,0.001,17.4,0.07,1.29,0.021,0.109,0.01
M250-127.1,74.6,17,0.4,2,12.5,1.1,11,0.022,10,1.22,0.3,0.23,17.5,4.7,7.1,1040,1.89,9,9.6,5.27,29.2,1.57,0.1,5.7,0.6,7.9,14.7,2.7,0.1,0.35,0.002,0.03,0.02,0.05,0.31,0.02,0.4,20.8,10.4,26.3,3,11.5,3,0.8,3.4,0.5,3,0.6,1.3,0.2,0.9,0.1,0.1,0.05,0.1,0.001,6.3,0.03,2.95,0.012,0.105,0.01
M250-150.1,78.2,14,0.5,2.3,42,0.6,16,0.025,9.99,2.64,0.61,0.15,14.3,4.3,16.4,593,1.79,5.4,13.7,0.45,15.1,3.06,0.1,1.6,0.5,19.9,9.53,3.2,0.1,0.08,0.002,0.01,0.02,0.05,0.06,0.02,1.4,34.9,11.4,27.1,3.2,12.2,2.6,0.6,2.5,0.3,2,0.4,0.9,0.1,0.6,0.1,0.1,0.05,0.1,0.001,9.1,0.07,0.32,0.019,0.099,0.01
M250-159.7,68.4,12,0.5,1.7,33.1,0.5,9,0.027,10,2.03,0.44,0.08,14.7,4.4,13.1,481,1.38,3.9,12.2,7.03,11.2,2.87,0.1,1.5,0.3,13.1,8.82,3.7,0.1,0.03,0.002,0.01,0.02,0.05,0.02,0.02,0.8,26.4,10,24.8,2.9,10.9,2.3,0.5,2.1,0.3,1.8,0.3,0.8,0.1,0.6,0.1,0.1,0.05,0.1,0.001,16.9,0.05,0.3,0.019,0.103,0.01
M250-171.8,88.4,7,0.3,1,24.8,0.4,21,0.029,10,1.17,0.27,0.09,18.4,2.3,6.9,619,1.17,2.5,8.8,0.57,9.9,1.31,0.1,0.8,0.3,8.1,7.57,1.6,0.1,0.01,0.002,0.01,0.02,0.05,0.02,0.02,0.5,28.5,9,21.1,2.4,9.02,2,0.5,1.9,0.3,1.4,0.3,0.6,0.1,0.4,0.1,0.1,0.05,0.1,0.001,8.6,0.03,0.21,0.01,0.114,0.01
M250-189.9,98.3,17,0.3,2.2,43.4,0.7,14,0.025,8.64,2.64,0.62,0.09,12.4,5.1,21.5,521,1.65,67.4,20.4,8.63,15.8,3.52,0.1,1.4,0.3,18.8,10.3,2.3,0.1,0.53,0.002,0.01,0.02,0.05,0.02,0.02,1,35.3,11.1,25.7,3,11.4,2.6,0.6,2.4,0.4,2.1,0.4,1,0.1,0.7,0.1,0.1,0.05,65.5,0.001,8.8,0.06,0.72,0.027,0.087,0.01
M250-2.1,123,14,0.5,1.1,53.6,0.4,5,0.02,9.41,3.27,0.26,0.34,15.2,3.9,10.3,468,1.93,7.6,25.5,6.4,33.4,4.25,0.1,3.3,1,10.3,11.2,2.6,0.2,0.09,0.007,0.02,0.02,0.06,0.26,0.02,0.7,22.7,9.1,21.8,2.5,9.59,2.3,0.5,2.4,0.4,2.2,0.4,1,0.1,0.8,0.1,0.1,0.05,0.1,0.001,26.5,0.06,2.24,0.014,0.106,0.01
M250-212.1,224,27,0.3,1.2,29.3,0.5,25,0.025,10,1.83,0.18,0.1,15.1,3.9,13,351,1.52,4.9,14.7,9.72,13.6,0.02,0.1,2.3,0.3,4.4,11.6,1.5,0.1,0.4,0.002,0.01,0.02,0.05,0.02,0.02,0.1,1950,7.9,19.6,2.1,8.42,2.1,0.5,2.3,0.4,2.3,0.5,1.1,0.1,0.1,0.1,0.1,0.05,13.7,0.001,13.7,0.02,0.31,0.018,0.143,0.01
M250-225.2,245,3,0.2,0.3,4.3,0.2,6,0.031,10,0.06,0.02,0.09,24.2,0.5,1.3,521,0.67,2.6,6,3.42,5.4,0.02,0.1,1.4,0.3,0.5,4.69,0.3,0.1,0.62,0.002,0.01,0.02,0.05,0.02,0.02,0.02,13.1,11.5,20.2,2.3,8.4,1.6,0.4,1.6,0.2,0.9,0.1,0.3,0.1,0.1,0.1,0.1,0.05,0.9,0.001,8.2,0.02,1.36,0.002,0.146,0.01
M250-240.0,235,27,0.3,2,45.8,0.6,11,0.024,9.35,2.62,0.47,0.09,13.4,7.2,23,382,1.42,6.7,17.3,0.69,12.8,4.04,0.1,1.2,0.3,14.3,10.2,5,0.1,0.1,0.002,0.01,0.02,0.05,0.02,0.02,0.7,40.4,5.5,15.3,1.8,7.29,1.8,0.5,1.9,0.3,1.9,0.4,1,0.1,0.9,0.1,0.1,0.05,0.1,0.001,4.7,0.05,0.5,0.024,0.097,0.01
