sample,d13C,d18O,lithology,formation,stage,m,age,peaks,m/my,,,
M250-2.1,-2.07,-7.95,dl,lie de vin (Twd),T,2.1,522.2,,123.33,,,
M250-2.6,-1.78,-10.66,dl,lie de vin (Twd),T,2.6,522.2,,123.33,,,
M250-3.6,-2.04,-10.95,dl,lie de vin (Twd),T,3.6,522.19,,123.33,,,
M250-4.4,-2.34,-9.53,dl,lie de vin (Twd),T,4.4,522.18,,123.33,,,
M250-6.1,-2.04,-8.92,dl,lie de vin (Twd),T,6.1,522.17,,123.33,,,
M250-7.5,-1.59,-6.84,dl,lie de vin (Twd),T,7.5,522.16,,123.33,,,
M250-8.5,-2.39,-6.52,dl,lie de vin (Twd),T,8.5,522.15,,123.33,,,
M250-11.4,-2.61,-7.38,dl,lie de vin (Twd),T,11.4,522.12,,123.33,,,
M250-12.5,-2.2,-7.43,dl,lie de vin (Twd),T,12.5,522.12,,123.33,,,
M250-13.4,-2.44,-7.55,dl,lie de vin (Twd),T,13.4,522.11,,123.33,,,
M250-14.4,-1.78,-5.52,dl,lie de vin (Twd),T,14.4,522.1,,123.33,,,
M250-15.1,-2.44,-10.62,dl,lie de vin (Twd),T,15.1,522.09,,123.33,,,
M250-19.6,-2.15,-5.73,dl,lie de vin (Twd),T,19.6,522.06,,123.33,,,
M250-20.2,-2.47,-8.85,dl,lie de vin (Twd),T,20.2,522.05,,123.33,,,
M250-20.6,-2.09,-10.72,dl,lie de vin (Twd),T,20.6,522.05,,123.33,,,
M250-23.3,-2.09,-10.27,dl,lie de vin (Twd),T,23.3,522.03,,123.33,,,
M250-24.6,-1.78,-10.48,dl,lie de vin (Twd),T,24.6,522.02,,123.33,,,
M250-27.7,-1.37,-8.62,dl,lie de vin (Twd),T,27.7,521.99,,123.33,,,
M250-29.1,-2.09,-10.41,dl,lie de vin (Twd),T,29.1,521.98,,123.33,,,
M250-29.4,-1.86,-8.89,dl,lie de vin (Twd),T,29.4,521.98,,123.33,,,
M250-30.1,-2.05,-9.69,dl,lie de vin (Twd),T,30.1,521.97,,123.33,,,
M250-30.4,-2.05,-8.32,dl,lie de vin (Twd),T,30.4,521.97,,123.33,,,
M250-34.4,-2.5,-9.6,dl,lie de vin (Twd),T,34.4,521.94,,123.33,,,
M250-35.4,-2.57,-10.08,dl,lie de vin (Twd),T,35.4,521.93,,123.33,,,
M250-35.7,-2.56,-9.56,dl,lie de vin (Twd),T,35.7,521.93,,123.33,,,
M250-38.1,-1.95,-7.42,dl,lie de vin (Twd),T,38.1,521.91,,123.33,,,
M250-40.7,-2.58,-9.18,dl,lie de vin (Twd),T,40.7,521.89,,123.33,,,
M250-46.2,-1.64,-9.65,dl,lie de vin (Twd),T,46.2,521.84,,123.33,,,
M250-46.9,-2.34,-8.58,dl,lie de vin (Twd),T,46.9,521.84,,123.33,,,
M250-50.0,-2.12,-9.29,dl,lie de vin (Twd),T,50,521.81,,123.33,,,
M250-50.5,-2.25,-9.88,dl,lie de vin (Twd),T,50.5,521.81,,123.33,,,
M250-50.8,-1.62,-7.98,dl,lie de vin (Twd),T,50.8,521.81,,123.33,,,
M250-51.6,-2.33,-9.79,dl,lie de vin (Twd),T,51.6,521.8,,123.33,,,
M250-54.1,-2.08,-9.35,dl,lie de vin (Twd),T,54.1,521.78,,123.33,,,
M250-54.8,-1.83,-10.03,dl,lie de vin (Twd),T,54.8,521.77,,123.33,,,
M250-55.5,-1.84,-9.73,dl,lie de vin (Twd),T,55.5,521.77,,123.33,,,
M250-59.1,-2.47,-9.08,dl,lie de vin (Twd),T,59.1,521.74,,123.33,,,
M250-59.6,-2.61,-9.76,dl,lie de vin (Twd),T,59.6,521.73,,123.33,,,
M250-60.2,-2.79,-9.58,dl,lie de vin (Twd),T,60.2,521.73,,123.33,,,
M250-62.6,-2.64,-8.62,dl,lie de vin (Twd),T,62.6,521.71,,123.33,,,
M250-63.4,-2.8,-8.57,dl,lie de vin (Twd),T,63.4,521.7,,123.33,,,
M250-70.3,-3.13,-7.8,dl,lie de vin (Twd),T,70.3,521.65,,123.33,,,
